0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.0178, 0.5333, 0.3597, 0.1861, 0.0000
0.0206, 0.5333, 0.3597, 0.1861, 0.1834
0.0361, 0.5333, 0.3597, 0.1861, 0.1804
0.0388, 0.5333, 0.3597, 0.1861, 0.0000
0.2224, 0.6902, 0.0839, 0.1951, 0.0000
0.2274, 0.6902, 0.0839, 0.1951, 0.0880
0.2479, 0.6902, 0.0839, 0.1951, 0.0831
0.2515, 0.6902, 0.0839, 0.1951, 0.0000
0.2857, 0.9843, 0.9843, 0.9843, 0.0000
0.3042, 0.9843, 0.9843, 0.9843, 0.8240
0.4540, 0.9843, 0.9843, 0.9843, 0.8172
0.4916, 0.9843, 0.9843, 0.9843, 0.0000
1.0000, 0.0000, 0.0000, 0.0000, 0.0000
